name,ngram,score_1,score_2,score_3
IPSEN,IPSEN,1,18,9
PEPTIMIMESIS,PEPTIMIMESIS,1,1,1
MERSEN,MERSEN,1,22,2
BANQUE PALATINE,BANQUE,19,4,641
BANQUE PALATINE,PALATINE,2,4,2
BANQUE PALATINE,BANQUE PALATINE,-1,4,2
SPIE OPERATIONS,SPIE,9,59,50
SPIE OPERATIONS,OPERATIONS,3,8,898
SPIE OPERATIONS,SPIE OPERATIONS,-1,0,0
ENGIE,ENGIE,7,111,74
VALEO,VALEO,1,23,8
MSD VACCINS,MSD,2,1,4
MSD VACCINS,VACCINS,1,1,28
MSD VACCINS,MSD VACCINS,-1,1,0
IDI,IDI,6,6,916
GROUPE WINNCARE,GROUPE,58,1,7128
GROUPE WINNCARE,WINNCARE,1,1,1
GROUPE WINNCARE,GROUPE WINNCARE,-1,1,1
HAULOTTE GROUP,HAULOTTE,1,10,0
HAULOTTE GROUP,GROUP,123,10,7344
HAULOTTE GROUP,HAULOTTE GROUP,-1,10,0
GL EVENTS,GL,12,20,2348
GL EVENTS,EVENTS,2,20,18
GL EVENTS,GL EVENTS,-1,20,5
SAFT GROUPE SA,SAFT,2,13,8
SAFT GROUPE SA,GROUPE,58,7,7122
SAFT GROUPE SA,SAFT GROUPE,-1,0,2
TRANSGENE,TRANSGENE,1,7,0
SANOFI,SANOFI,3,53,34
CARREFOUR,CARREFOUR,3,39,56
ILIAD,ILIAD,1,17,17
CHARGEURS,CHARGEURS,2,22,14
BOURBON CORPORATION,BOURBON,1,18,17
BOURBON CORPORATION,CORPORATION,2,0,107
BOURBON CORPORATION,BOURBON CORPORATION,-1,0,0
ALTRAN TECHNOLOGIES,ALTRAN,1,36,11
ALTRAN TECHNOLOGIES,TECHNOLOGIES,25,6,768
ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,-1,1,3
CREDIXIA,CREDIXIA,1,1,0
GAUMONT,GAUMONT,2,5,6
FINANCIERE DE L'ECHIQUIER,FINANCIERE,17,13,1606
FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1,13,16
FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,-1,0,0
ERAAM,ERAAM,1,1,2
IENA VENTURE,IENA,1,1,6
IENA VENTURE,VENTURE,11,1,242
IENA VENTURE,IENA VENTURE,-1,1,2
REALITES PROMOTION,REALITES,3,12,13
REALITES PROMOTION,PROMOTION,4,0,237
REALITES PROMOTION,REALITES PROMOTION,-1,0,0
DAMARTEX,DAMARTEX,1,18,1
NEURONES,NEURONES,1,14,2
ALTAREA,ALTAREA,1,8,6
PSB INDUSTRIES,PSB,2,10,5
PSB INDUSTRIES,INDUSTRIES,9,10,175
PSB INDUSTRIES,PSB INDUSTRIES,-1,10,3
SOMFY SA,SOMFY,2,6,17
MR BRICOLAGE,MR,2,7,75
MR BRICOLAGE,BRICOLAGE,1,9,31
MR BRICOLAGE,MR BRICOLAGE,-1,4,1
AIRBUS DEFENCE AND SPACE SAS,AIRBUS,4,3,99
