,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.6328705248188826
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.7508943583964302
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.6948100060631137
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.3196140118459624
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.5285937898468975
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.07859378984689755
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.3894735323276345
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.40736116734582084
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.3
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.444871173287451
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.6394584535248381
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.4883894515180771
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.6062451924099762
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.3009009009009009
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.35555608299745145
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.3060812743739664
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.7508943583964302
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.15089435839643017
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.909009009009009
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.3114553741177767
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.309009009009009
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.34306881995222155
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.47633862981488045
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.04800624150997074
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.48044944451582905
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.3114866975086801
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.07499018624329394
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.9063063063063064
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.45214661987129073
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.4378007383852021
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.6241261445713427
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.480521487846912
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.6250270454722436
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.45138884529483864
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.3
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.6460563058329883
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.31758764141535
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.05088999672678304
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.9009009009009008
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.4794925099129748
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.3294390893510223
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.6210740356092996
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.3
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.6758910871441948
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.6258889063093712
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.3287804049105729
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.07589108714419485
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.4223366906099056
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.37561985398896774
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.3
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.7662096737117454
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.6876027988559065
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.6321952126156776
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.4889972325009617
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.3431864375762836
